date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:07	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://naza-blond.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://naza-blond.vercel.app/)
18:39:09	14191/14191	---MCZ	200	added ('OK')	text/html	etag:W/%22327f9426145e46c02b6ce76a0582cebc%22	https://naza-blond.vercel.app/shoutout	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/shoutout.html	(from https://naza-blond.vercel.app/)
18:39:10	10899/10899	---MCZ	200	added ('OK')	text/html	etag:W/%221b5036867bc7a6cb3f57c60716134adf%22	https://naza-blond.vercel.app/gallery	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/gallery.html	(from https://naza-blond.vercel.app/)
18:39:11	15116/15116	---MCZ	200	added ('OK')	text/html	etag:W/%2236f348e6305c9edb9b1f149e2ee67056%22	https://naza-blond.vercel.app/gift	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/gift.html	(from https://naza-blond.vercel.app/)
18:39:13	12005/12005	---MCZ	200	added ('OK')	text/html	etag:W/%229adc4a61f0030d1cab8f16377b619247%22	https://naza-blond.vercel.app/shoutouts	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/shoutouts.html	(from https://naza-blond.vercel.app/)
18:39:14	25196/25196	---M--	200	added ('OK')	font/woff2	etag:%22e37755b15ebf86db9a7f97151761bd39%22	https://naza-blond.vercel.app/_next/static/media/fd3893c623c32b6d-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/fd3893c623c32b6d-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:17	21264/21264	---M--	200	added ('OK')	font/woff2	etag:%22160db4ca1c04a1c0c7696a60112e7d52%22	https://naza-blond.vercel.app/_next/static/media/ea896c3885e026c1-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/ea896c3885e026c1-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:17	11556/11556	---M--	200	added ('OK')	font/woff2	etag:%2204a76b62d183d06a851464a83dc06856%22	https://naza-blond.vercel.app/_next/static/media/024ead497118aa23-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/024ead497118aa23-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:19	34444/34444	---M--	200	added ('OK')	font/woff2	etag:%22d4b577745e9f7a0172d55c9db19f5084%22	https://naza-blond.vercel.app/_next/static/media/e74f24ed7f0e4323-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/e74f24ed7f0e4323-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:19	23408/23408	---M--	200	added ('OK')	font/woff2	etag:%22c88e7854dc9e21b3df900e1e9bbb9791%22	https://naza-blond.vercel.app/_next/static/media/393d45a2251e223a-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/393d45a2251e223a-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:20	21132/21132	---M--	200	added ('OK')	font/woff2	etag:%224707efc4a5178d63587bcd41cb9b91c7%22	https://naza-blond.vercel.app/_next/static/media/8715d2ed531152f4-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/8715d2ed531152f4-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:21	11264/11264	---M--	200	added ('OK')	font/woff2	etag:%223e6270b013fa54e61b296effea15acc2%22	https://naza-blond.vercel.app/_next/static/media/c48b38fe8bb532f3-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/c48b38fe8bb532f3-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:22	33740/33740	---M--	200	added ('OK')	font/woff2	etag:%22e1f7cd82031b41027ce3b241bca44c88%22	https://naza-blond.vercel.app/_next/static/media/48410f3df60da620-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/48410f3df60da620-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:23	10140/10140	---M--	200	added ('OK')	font/woff2	etag:%22dcb081b72429db19253e7b18aa5d39a3%22	https://naza-blond.vercel.app/_next/static/media/b8c37bb59076c047-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/b8c37bb59076c047-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:24	17204/17204	---M--	200	added ('OK')	font/woff2	etag:%227b6ea3dd2de2dac9e36d1ad3212e9897%22	https://naza-blond.vercel.app/_next/static/media/5bbac197f803cc34-s.woff2	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/media/5bbac197f803cc34-s.woff2	(from https://naza-blond.vercel.app/_next/static/css/d0bad73f5a5d519e.css)
18:39:25	10749/10749	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd7e315995175b3fcdd670b50c23adfd%22	https://naza-blond.vercel.app/_next/static/chunks/app/shoutout/page-cbe56dfe8f8c8005.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/app/shoutout/page-cbe56dfe8f8c8005.js	(from https://naza-blond.vercel.app/shoutout)
18:39:25	1829/1829	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261223a72016f1f09a2a683dbf7c6efc6%22	https://naza-blond.vercel.app/_next/static/chunks/app/gallery/page-7a771c39ce488a92.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/app/gallery/page-7a771c39ce488a92.js	(from https://naza-blond.vercel.app/gallery)
18:39:27	1448/1448	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba84497fa533cae26d2cff12b60c5054%22	https://naza-blond.vercel.app/_next/static/chunks/app/gift/page-4438117dfbd3fb78.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/app/gift/page-4438117dfbd3fb78.js	(from https://naza-blond.vercel.app/gift)
18:39:28	347605/347605	---MCZ	200	added ('OK')	application/javascript	etag:W/%22163ee5db02c2132c7dd4261d2c769984%22	https://naza-blond.vercel.app/_next/static/chunks/b536a0f1-398ddf0b801ede08.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/b536a0f1-398ddf0b801ede08.js	(from https://naza-blond.vercel.app/shoutouts)
18:39:30	184488/184488	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da5bd346d76188173e387e714f075087%22	https://naza-blond.vercel.app/_next/static/chunks/bd904a5c-683d0cf984be56ab.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/bd904a5c-683d0cf984be56ab.js	(from https://naza-blond.vercel.app/shoutouts)
18:39:31	22220/22220	---MCZ	200	added ('OK')	application/javascript	etag:W/%220132f91b6a4c1322cc7db6d8f3ab28f9%22	https://naza-blond.vercel.app/_next/static/chunks/83-ee897e9308c0b668.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/83-ee897e9308c0b668.js	(from https://naza-blond.vercel.app/shoutouts)
18:39:32	15365/15365	---MCZ	200	added ('OK')	application/javascript	etag:W/%2201829b9db732901a34a94ef3cad390c0%22	https://naza-blond.vercel.app/_next/static/chunks/app/shoutouts/page-5ededd3b19f843f0.js	C:/Users/USER/Desktop/naza%20backup/naza-blond.vercel.app/_next/static/chunks/app/shoutouts/page-5ededd3b19f843f0.js	(from https://naza-blond.vercel.app/shoutouts)
